nom_espece,ug,date_realisation,serie,numero_circuit,nom_circuit,nb,km,valide
Cerf,Méjean,2012-03-28,1,5,Le Pradal,3,29.7,
Cerf,Méjean,2012-03-29,2,1,Mas St Chély,11,23.4,
Cerf,Méjean,2012-03-29,2,2,Hures La Parade,0,31,
Cerf,Méjean,2012-03-29,2,3,St Pierre des Trippiers,0,15,
Cerf,Méjean,2012-03-29,2,4,Fretma,22,38.3,
Cerf,Méjean,2012-03-29,2,5,Le Pradal,1,29.7,
Cerf,Méjean,2012-04-04,3,4,Fretma,28,38.3,x
Cerf,Méjean,2012-04-04,3,5,Le Pradal,0,29.7,x
Cerf,Méjean,2012-04-05,4,4,Fretma,4,38.3,x
Cerf,Méjean,2012-04-05,4,5,Le Pradal,0,29.7,x
Cerf,Vallées cévenoles,2018-05-02,1,1,Bougès,18,33,
Cerf,Vallées cévenoles,2018-05-03,2,1,Bougès,6,33,
Cerf,Vallées cévenoles,2018-05-16,3,1,Bougès,35,33,
Cerf,Vallées cévenoles,2018-05-17,4,1,Bougès,31,33,
Cerf,Vallées cévenoles,2019-04-29,1,1,Bougès-2,32,32.5,
Cerf,Vallées cévenoles,2019-04-30,2,1,Bougès-2,33,32.5,
Cerf,Vallées cévenoles,2019-05-13,3,1,Bougès-2,24,32.5,
Cerf,Vallées cévenoles,2019-05-14,4,1,Bougès-2,22,32.5,
Chevreuil,Méjean,2019-04-01,1,1,Mas St Chély,104,23.4,
Chevreuil,Méjean,2019-04-01,1,2,Hures La Parade,81,31,
Chevreuil,Méjean,2019-04-01,1,3,St Pierre des Trippiers,85,15,
Chevreuil,Méjean,2019-04-01,1,4,Fretma,47,38.3,
Chevreuil,Méjean,2019-04-01,1,5,Le Pradal,31,29.7,
Chevreuil,Méjean,2019-04-02,2,1,Mas St Chély,82,23.4,
Chevreuil,Méjean,2019-04-02,2,2,Hures La Parade,71,31,
Chevreuil,Méjean,2019-04-02,2,3,St Pierre des Trippiers,76,15,
Chevreuil,Méjean,2019-04-02,2,4,Fretma,13,38.3,
Chevreuil,Méjean,2019-04-02,2,5,Le Pradal,30,29.7,
Chevreuil,Méjean,2019-04-15,3,4,Fretma,19,38.3,x
Chevreuil,Méjean,2019-04-15,3,5,Le Pradal,20,29.7,x
Chevreuil,Méjean,2017-03-27,1,1,Mas St Chély,89,23.4,
Chevreuil,Méjean,2017-03-27,1,2,Hures La Parade,76,31,
Chevreuil,Méjean,2017-03-27,1,3,St Pierre des Trippiers,133,15,
Chevreuil,Méjean,2017-03-27,1,4,Fretma,33,38.3,
Chevreuil,Méjean,2017-03-27,1,5,Le Pradal,30,29.7,
Chevreuil,Méjean,2017-03-28,2,1,Mas St Chély,113,23.4,
Chevreuil,Méjean,2017-03-28,2,2,Hures La Parade,79,31,
Chevreuil,Méjean,2017-03-28,2,3,St Pierre des Trippiers,101,15,
Chevreuil,Méjean,2017-03-28,2,4,Fretma,33,38.3,
Chevreuil,Méjean,2017-03-28,2,5,Le Pradal,32,29.7,
Chevreuil,Méjean,2017-04-10,3,4,Fretma,31,38.3,x
Chevreuil,Méjean,2017-04-10,3,5,Le Pradal,21,29.7,x
Chevreuil,Méjean,2017-04-11,4,4,Fretma,23,38.3,x
Chevreuil,Méjean,2017-04-11,4,5,Le Pradal,28,29.7,x
Chevreuil,Mont Aigoual,2016-04-28,1,1,Vébron-Rousses-Bassurels,3,44,
Chevreuil,Mont Aigoual,2016-04-28,1,2,Gatuzières-Meyrueis,6,33.8,
Chevreuil,Mont Aigoual,2016-04-28,1,3,Meyrueis-Brèze et Béthuzon,17,34.3,
