'48223-CB48-0103-1';'Forêt des Crozes - CBPS 48-0103-1'
'48250-CB48-0116-1';'La Blachayre - CBPS 48-0116-1'
'48337-CB48-0128-1';'Nom inconnu - CBPS 48-0128-1'
'48341-CB48-0129-1';'Nom inconnu - CBPS 48-0129-1'
'48346-CB48-0134-1';'Nom inconnu - CBPS 48-0134-1'
'48347-CB48-0135-1';'Forêt du Mas Blanc - CBPS 48-0135-1'
'49633-CB48-0153-1';'Nom inconnu - CBPS 48-0153-1'
'49634-CB48-0154-1';'Nom inconnu - CBPS 48-0154-1'
'49666-CB48-0169-1';'Nom inconnu - CBPS 48-0169-1'
'49789-CB48-0181-1';'Nom inconnu - CBPS 48-0181-1'
'49879-CB48-0195-1';'Nom inconnu - CBPS 48-0195-1'
'94942-CB48-0199-1';'Molières (GF du Moulin) - CBPS 48-0199-48-1'
'46336-CP48-0200-1';'Molières - CBPS 48-0200-1'
